Domain,Area,Element,Months,Year,Value
"Temperature change on land","Northern America","Temperature change","September","2022","2.327"
"Temperature change on land","Northern America","Temperature change","September","2023","2.509"
"Temperature change on land","Northern America","Temperature change","October","1961","-0.728"
"Temperature change on land","Northern America","Temperature change","October","1962","1.176"
"Temperature change on land","Northern America","Temperature change","October","1963","2.105"
"Temperature change on land","Northern America","Temperature change","October","1964","-0.051"
"Temperature change on land","Northern America","Temperature change","October","1965","-0.396"
"Temperature change on land","Northern America","Temperature change","October","1966","-0.669"
"Temperature change on land","Northern America","Temperature change","October","1967","0.043"
"Temperature change on land","Northern America","Temperature change","October","1968","0.891"
"Temperature change on land","Northern America","Temperature change","October","1969","-0.456"
"Temperature change on land","Northern America","Temperature change","October","1970","-0.346"
"Temperature change on land","Northern America","Temperature change","October","1971","0.724"
"Temperature change on land","Northern America","Temperature change","October","1972","-1.539"
"Temperature change on land","Northern America","Temperature change","October","1973","1.112"
"Temperature change on land","Northern America","Temperature change","October","1974","-1.066"
"Temperature change on land","Northern America","Temperature change","October","1975","0.136"
"Temperature change on land","Northern America","Temperature change","October","1976","-1.431"
"Temperature change on land","Northern America","Temperature change","October","1977","0.57"
"Temperature change on land","Northern America","Temperature change","October","1978","-0.851"
"Temperature change on land","Northern America","Temperature change","October","1979","0.546"
"Temperature change on land","Northern America","Temperature change","October","1980","0.086"
"Temperature change on land","Northern America","Temperature change","October","1981","-0.149"
"Temperature change on land","Northern America","Temperature change","October","1982","-0.267"
"Temperature change on land","Northern America","Temperature change","October","1983","0.183"
"Temperature change on land","Northern America","Temperature change","October","1984","-0.16"
"Temperature change on land","Northern America","Temperature change","October","1985","-0.325"
"Temperature change on land","Northern America","Temperature change","October","1986","-0.53"
"Temperature change on land","Northern America","Temperature change","October","1987","0.155"
"Temperature change on land","Northern America","Temperature change","October","1988","0.048"
"Temperature change on land","Northern America","Temperature change","October","1989","0.027"
"Temperature change on land","Northern America","Temperature change","October","1990","-0.638"
"Temperature change on land","Northern America","Temperature change","October","1991","-0.404"
"Temperature change on land","Northern America","Temperature change","October","1992","-0.277"
"Temperature change on land","Northern America","Temperature change","October","1993","-0.052"
"Temperature change on land","Northern America","Temperature change","October","1994","0.806"
"Temperature change on land","Northern America","Temperature change","October","1995","0.492"
"Temperature change on land","Northern America","Temperature change","October","1996","-1.015"
"Temperature change on land","Northern America","Temperature change","October","1997","-0.606"
"Temperature change on land","Northern America","Temperature change","October","1998","1.202"
"Temperature change on land","Northern America","Temperature change","October","1999","-0.138"
"Temperature change on land","Northern America","Temperature change","October","2000","0.378"
"Temperature change on land","Northern America","Temperature change","October","2001","0.141"
"Temperature change on land","Northern America","Temperature change","October","2002","-0.315"
"Temperature change on land","Northern America","Temperature change","October","2003","1.877"
"Temperature change on land","Northern America","Temperature change","October","2004","0.663"
"Temperature change on land","Northern America","Temperature change","October","2005","1.28"
"Temperature change on land","Northern America","Temperature change","October","2006","0.772"
"Temperature change on land","Northern America","Temperature change","October","2007","1.368"
"Temperature change on land","Northern America","Temperature change","October","2008","0.429"
"Temperature change on land","Northern America","Temperature change","October","2009","-0.859"
"Temperature change on land","Northern America","Temperature change","October","2010","1.79"
"Temperature change on land","Northern America","Temperature change","October","2011","1.374"
"Temperature change on land","Northern America","Temperature change","October","2012","0.316"
"Temperature change on land","Northern America","Temperature change","October","2013","1.271"
"Temperature change on land","Northern America","Temperature change","October","2014","1.544"
"Temperature change on land","Northern America","Temperature change","October","2015","1.441"
"Temperature change on land","Northern America","Temperature change","October","2016","1.307"
"Temperature change on land","Northern America","Temperature change","October","2017","1.379"
"Temperature change on land","Northern America","Temperature change","October","2018","-0.103"
"Temperature change on land","Northern America","Temperature change","October","2019","0.727"
"Temperature change on land","Northern America","Temperature change","October","2020","0.305"
"Temperature change on land","Northern America","Temperature change","October","2021","3.09"
"Temperature change on land","Northern America","Temperature change","October","2022","2.069"
"Temperature change on land","Northern America","Temperature change","October","2023","2.302"
"Temperature change on land","Northern America","Temperature change","November","1961","-0.276"
"Temperature change on land","Northern America","Temperature change","November","1962","0.816"
"Temperature change on land","Northern America","Temperature change","November","1963","0.437"
"Temperature change on land","Northern America","Temperature change","November","1964","0.06"
"Temperature change on land","Northern America","Temperature change","November","1965","0.442"
"Temperature change on land","Northern America","Temperature change","November","1966","-0.986"
"Temperature change on land","Northern America","Temperature change","November","1967","0.064"
"Temperature change on land","Northern America","Temperature change","November","1968","0.227"
"Temperature change on land","Northern America","Temperature change","November","1969","0.297"
"Temperature change on land","Northern America","Temperature change","November","1970","0.094"
"Temperature change on land","Northern America","Temperature change","November","1971","-0.525"
"Temperature change on land","Northern America","Temperature change","November","1972","-1.095"
"Temperature change on land","Northern America","Temperature change","November","1973","-0.496"
"Temperature change on land","Northern America","Temperature change","November","1974","0.566"
"Temperature change on land","Northern America","Temperature change","November","1975","-0.367"
"Temperature change on land","Northern America","Temperature change","November","1976","-0.178"
"Temperature change on land","Northern America","Temperature change","November","1977","0.203"
"Temperature change on land","Northern America","Temperature change","November","1978","-1.042"
"Temperature change on land","Northern America","Temperature change","November","1979","0.988"
"Temperature change on land","Northern America","Temperature change","November","1980","0.989"
"Temperature change on land","Northern America","Temperature change","November","1981","2.241"
"Temperature change on land","Northern America","Temperature change","November","1982","-1.257"
"Temperature change on land","Northern America","Temperature change","November","1983","1.558"
"Temperature change on land","Northern America","Temperature change","November","1984","-0.678"
"Temperature change on land","Northern America","Temperature change","November","1985","-2.287"
"Temperature change on land","Northern America","Temperature change","November","1986","-2.042"
"Temperature change on land","Northern America","Temperature change","November","1987","1.162"
"Temperature change on land","Northern America","Temperature change","November","1988","0.043"
"Temperature change on land","Northern America","Temperature change","November","1989","-1.342"
"Temperature change on land","Northern America","Temperature change","November","1990","-0.532"
"Temperature change on land","Northern America","Temperature change","November","1991","-0.908"
"Temperature change on land","Northern America","Temperature change","November","1992","-0.016"
"Temperature change on land","Northern America","Temperature change","November","1993","-0.966"
"Temperature change on land","Northern America","Temperature change","November","1994","0.476"
"Temperature change on land","Northern America","Temperature change","November","1995","-0.694"
"Temperature change on land","Northern America","Temperature change","November","1996","-0.878"
"Temperature change on land","Northern America","Temperature change","November","1997","0.843"
"Temperature change on land","Northern America","Temperature change","November","1998","2.398"
"Temperature change on land","Northern America","Temperature change","November","1999","2.282"
"Temperature change on land","Northern America","Temperature change","November","2000","0.368"
"Temperature change on land","Northern America","Temperature change","November","2001","2.202"
"Temperature change on land","Northern America","Temperature change","November","2002","1.302"
"Temperature change on land","Northern America","Temperature change","November","2003","0.722"
"Temperature change on land","Northern America","Temperature change","November","2004","1.315"
"Temperature change on land","Northern America","Temperature change","November","2005","1.596"
"Temperature change on land","Northern America","Temperature change","November","2006","0.08"
"Temperature change on land","Northern America","Temperature change","November","2007","0.96"
"Temperature change on land","Northern America","Temperature change","November","2008","1.447"
"Temperature change on land","Northern America","Temperature change","November","2009","2.341"
"Temperature change on land","Northern America","Temperature change","November","2010","2.059"
"Temperature change on land","Northern America","Temperature change","November","2011","0.869"
"Temperature change on land","Northern America","Temperature change","November","2012","0.193"
"Temperature change on land","Northern America","Temperature change","November","2013","-0.086"
"Temperature change on land","Northern America","Temperature change","November","2014","-0.617"
"Temperature change on land","Northern America","Temperature change","November","2015","2.031"
"Temperature change on land","Northern America","Temperature change","November","2016","3.795"
"Temperature change on land","Northern America","Temperature change","November","2017","0.834"
"Temperature change on land","Northern America","Temperature change","November","2018","-0.313"
"Temperature change on land","Northern America","Temperature change","November","2019","0.944"
"Temperature change on land","Northern America","Temperature change","November","2020","1.594"
"Temperature change on land","Northern America","Temperature change","November","2021","2.056"
"Temperature change on land","Northern America","Temperature change","November","2022","0.305"
"Temperature change on land","Northern America","Temperature change","November","2023","2.885"
"Temperature change on land","Northern America","Temperature change","December","1961","-1.112"
"Temperature change on land","Northern America","Temperature change","December","1962","0.932"
"Temperature change on land","Northern America","Temperature change","December","1963","-0.329"
"Temperature change on land","Northern America","Temperature change","December","1964","-1.848"
"Temperature change on land","Northern America","Temperature change","December","1965","1.02"
"Temperature change on land","Northern America","Temperature change","December","1966","0.285"
"Temperature change on land","Northern America","Temperature change","December","1967","1.153"
"Temperature change on land","Northern America","Temperature change","December","1968","-1.115"
"Temperature change on land","Northern America","Temperature change","December","1969","2.72"
"Temperature change on land","Northern America","Temperature change","December","1970","-1.41"
"Temperature change on land","Northern America","Temperature change","December","1971","-1.184"
"Temperature change on land","Northern America","Temperature change","December","1972","-2.426"
"Temperature change on land","Northern America","Temperature change","December","1973","0.767"
"Temperature change on land","Northern America","Temperature change","December","1974","1.031"
"Temperature change on land","Northern America","Temperature change","December","1975","-0.64"
"Temperature change on land","Northern America","Temperature change","December","1976","-1.027"
"Temperature change on land","Northern America","Temperature change","December","1977","-1.075"
"Temperature change on land","Northern America","Temperature change","December","1978","0.015"
"Temperature change on land","Northern America","Temperature change","December","1979","1.502"
"Temperature change on land","Northern America","Temperature change","December","1980","-1.46"
"Temperature change on land","Northern America","Temperature change","December","1981","1.603"
"Temperature change on land","Northern America","Temperature change","December","1982","0.894"
"Temperature change on land","Northern America","Temperature change","December","1983","-2.615"
"Temperature change on land","Northern America","Temperature change","December","1984","-0.76"
"Temperature change on land","Northern America","Temperature change","December","1985","0.613"
"Temperature change on land","Northern America","Temperature change","December","1986","2.197"
"Temperature change on land","Northern America","Temperature change","December","1987","2.65"
"Temperature change on land","Northern America","Temperature change","December","1988","0.476"
"Temperature change on land","Northern America","Temperature change","December","1989","-1.386"
"Temperature change on land","Northern America","Temperature change","December","1990","-1.597"
"Temperature change on land","Northern America","Temperature change","December","1991","0.797"
"Temperature change on land","Northern America","Temperature change","December","1992","-0.494"
"Temperature change on land","Northern America","Temperature change","December","1993","1.405"
"Temperature change on land","Northern America","Temperature change","December","1994","1.834"
"Temperature change on land","Northern America","Temperature change","December","1995","-0.175"
"Temperature change on land","Northern America","Temperature change","December","1996","0.704"
"Temperature change on land","Northern America","Temperature change","December","1997","2.493"
"Temperature change on land","Northern America","Temperature change","December","1998","2.041"
"Temperature change on land","Northern America","Temperature change","December","1999","2.229"
"Temperature change on land","Northern America","Temperature change","December","2000","-0.759"
"Temperature change on land","Northern America","Temperature change","December","2001","2.747"
"Temperature change on land","Northern America","Temperature change","December","2002","3.496"
"Temperature change on land","Northern America","Temperature change","December","2003","2.444"
"Temperature change on land","Northern America","Temperature change","December","2004","0.214"
"Temperature change on land","Northern America","Temperature change","December","2005","2.342"
"Temperature change on land","Northern America","Temperature change","December","2006","3.622"
"Temperature change on land","Northern America","Temperature change","December","2007","0.407"
"Temperature change on land","Northern America","Temperature change","December","2008","-0.94"
"Temperature change on land","Northern America","Temperature change","December","2009","0.798"
"Temperature change on land","Northern America","Temperature change","December","2010","1.811"
"Temperature change on land","Northern America","Temperature change","December","2011","2.876"
"Temperature change on land","Northern America","Temperature change","December","2012","1.154"
"Temperature change on land","Northern America","Temperature change","December","2013","-1.395"
"Temperature change on land","Northern America","Temperature change","December","2014","2.803"
"Temperature change on land","Northern America","Temperature change","December","2015","3.372"
"Temperature change on land","Northern America","Temperature change","December","2016","0.65"
"Temperature change on land","Northern America","Temperature change","December","2017","2.133"
"Temperature change on land","Northern America","Temperature change","December","2018","2.63"
"Temperature change on land","Northern America","Temperature change","December","2019","2.239"
"Temperature change on land","Northern America","Temperature change","December","2020","3.347"
"Temperature change on land","Northern America","Temperature change","December","2021","1.725"
"Temperature change on land","Northern America","Temperature change","December","2022","1.135"
"Temperature change on land","Northern America","Temperature change","December","2023","6.055"
"Temperature change on land","Central America","Temperature change","January","1961","-0.161"
"Temperature change on land","Central America","Temperature change","January","1962","-0.698"
"Temperature change on land","Central America","Temperature change","January","1963","-0.273"
"Temperature change on land","Central America","Temperature change","January","1964","-0.784"
"Temperature change on land","Central America","Temperature change","January","1965","0.307"
"Temperature change on land","Central America","Temperature change","January","1966","-0.948"
"Temperature change on land","Central America","Temperature change","January","1967","-0.592"
"Temperature change on land","Central America","Temperature change","January","1968","-0.219"
"Temperature change on land","Central America","Temperature change","January","1969","0.862"
"Temperature change on land","Central America","Temperature change","January","1970","-0.426"
"Temperature change on land","Central America","Temperature change","January","1971","0.629"
"Temperature change on land","Central America","Temperature change","January","1972","0.651"
"Temperature change on land","Central America","Temperature change","January","1973","-0.448"
"Temperature change on land","Central America","Temperature change","January","1974","0.871"
"Temperature change on land","Central America","Temperature change","January","1975","-0.025"
"Temperature change on land","Central America","Temperature change","January","1976","-0.559"
"Temperature change on land","Central America","Temperature change","January","1977","-0.237"
"Temperature change on land","Central America","Temperature change","January","1978","-0.013"
"Temperature change on land","Central America","Temperature change","January","1979","-0.473"
"Temperature change on land","Central America","Temperature change","January","1980","0.789"
"Temperature change on land","Central America","Temperature change","January","1981","-0.384"
"Temperature change on land","Central America","Temperature change","January","1982","0.969"
"Temperature change on land","Central America","Temperature change","January","1983","0.03"
"Temperature change on land","Central America","Temperature change","January","1984","-0.291"
"Temperature change on land","Central America","Temperature change","January","1985","-0.86"
"Temperature change on land","Central America","Temperature change","January","1986","0.28"
"Temperature change on land","Central America","Temperature change","January","1987","-0.507"
"Temperature change on land","Central America","Temperature change","January","1988","-0.174"
"Temperature change on land","Central America","Temperature change","January","1989","0.797"
"Temperature change on land","Central America","Temperature change","January","1990","0.846"
"Temperature change on land","Central America","Temperature change","January","1991","0.608"
"Temperature change on land","Central America","Temperature change","January","1992","-0.269"
"Temperature change on land","Central America","Temperature change","January","1993","1.02"
"Temperature change on land","Central America","Temperature change","January","1994","0.594"
"Temperature change on land","Central America","Temperature change","January","1995","0.827"
"Temperature change on land","Central America","Temperature change","January","1996","0.261"
"Temperature change on land","Central America","Temperature change","January","1997","0.087"
"Temperature change on land","Central America","Temperature change","January","1998","1.192"
"Temperature change on land","Central America","Temperature change","January","1999","0.876"
"Temperature change on land","Central America","Temperature change","January","2000","1.068"
"Temperature change on land","Central America","Temperature change","January","2001","-0.048"
"Temperature change on land","Central America","Temperature change","January","2002","0.785"
"Temperature change on land","Central America","Temperature change","January","2003","1.05"
"Temperature change on land","Central America","Temperature change","January","2004","0.47"
"Temperature change on land","Central America","Temperature change","January","2005","1.378"
"Temperature change on land","Central America","Temperature change","January","2006","1.238"
"Temperature change on land","Central America","Temperature change","January","2007","0.13"
"Temperature change on land","Central America","Temperature change","January","2008","0.543"
"Temperature change on land","Central America","Temperature change","January","2009","1.336"
"Temperature change on land","Central America","Temperature change","January","2010","0.134"
"Temperature change on land","Central America","Temperature change","January","2011","0.554"
"Temperature change on land","Central America","Temperature change","January","2012","1.37"
"Temperature change on land","Central America","Temperature change","January","2013","0.633"
"Temperature change on land","Central America","Temperature change","January","2014","0.445"
"Temperature change on land","Central America","Temperature change","January","2015","0.718"
"Temperature change on land","Central America","Temperature change","January","2016","0.582"
"Temperature change on land","Central America","Temperature change","January","2017","1.529"
"Temperature change on land","Central America","Temperature change","January","2018","0.465"
"Temperature change on land","Central America","Temperature change","January","2019","1.017"
"Temperature change on land","Central America","Temperature change","January","2020","1.665"
"Temperature change on land","Central America","Temperature change","January","2021","1.151"
"Temperature change on land","Central America","Temperature change","January","2022","1.172"
"Temperature change on land","Central America","Temperature change","January","2023","1.769"
"Temperature change on land","Central America","Temperature change","February","1961","-0.1"
"Temperature change on land","Central America","Temperature change","February","1962","1.195"
"Temperature change on land","Central America","Temperature change","February","1963","-0.102"
"Temperature change on land","Central America","Temperature change","February","1964","-0.759"
"Temperature change on land","Central America","Temperature change","February","1965","-0.681"
"Temperature change on land","Central America","Temperature change","February","1966","-1.006"
"Temperature change on land","Central America","Temperature change","February","1967","-0.223"
"Temperature change on land","Central America","Temperature change","February","1968","-0.477"
"Temperature change on land","Central America","Temperature change","February","1969","0.3"
"Temperature change on land","Central America","Temperature change","February","1970","-0.217"
"Temperature change on land","Central America","Temperature change","February","1971","0.087"
"Temperature change on land","Central America","Temperature change","February","1972","0.165"
"Temperature change on land","Central America","Temperature change","February","1973","-0.122"
"Temperature change on land","Central America","Temperature change","February","1974","-0.2"
"Temperature change on land","Central America","Temperature change","February","1975","0.084"
"Temperature change on land","Central America","Temperature change","February","1976","0.288"
"Temperature change on land","Central America","Temperature change","February","1977","0.213"
"Temperature change on land","Central America","Temperature change","February","1978","-0.688"
"Temperature change on land","Central America","Temperature change","February","1979","-0.015"
"Temperature change on land","Central America","Temperature change","February","1980","0.589"
"Temperature change on land","Central America","Temperature change","February","1981","0.577"
"Temperature change on land","Central America","Temperature change","February","1982","0.922"
"Temperature change on land","Central America","Temperature change","February","1983","-0.079"
"Temperature change on land","Central America","Temperature change","February","1984","-0.007"
"Temperature change on land","Central America","Temperature change","February","1985","-0.26"
"Temperature change on land","Central America","Temperature change","February","1986","1.018"
"Temperature change on land","Central America","Temperature change","February","1987","0.092"
"Temperature change on land","Central America","Temperature change","February","1988","0.703"
"Temperature change on land","Central America","Temperature change","February","1989","0.509"
"Temperature change on land","Central America","Temperature change","February","1990","0.327"
"Temperature change on land","Central America","Temperature change","February","1991","0.872"
"Temperature change on land","Central America","Temperature change","February","1992","0.067"
"Temperature change on land","Central America","Temperature change","February","1993","0.622"
"Temperature change on land","Central America","Temperature change","February","1994","0.862"
"Temperature change on land","Central America","Temperature change","February","1995","1.663"
"Temperature change on land","Central America","Temperature change","February","1996","1.212"
"Temperature change on land","Central America","Temperature change","February","1997","0.606"
"Temperature change on land","Central America","Temperature change","February","1998","0.318"
"Temperature change on land","Central America","Temperature change","February","1999","1.468"
"Temperature change on land","Central America","Temperature change","February","2000","1.389"
"Temperature change on land","Central America","Temperature change","February","2001","1.16"
"Temperature change on land","Central America","Temperature change","February","2002","0.328"
"Temperature change on land","Central America","Temperature change","February","2003","1.476"
"Temperature change on land","Central America","Temperature change","February","2004","0.009"
"Temperature change on land","Central America","Temperature change","February","2005","0.889"
"Temperature change on land","Central America","Temperature change","February","2006","1.109"
"Temperature change on land","Central America","Temperature change","February","2007","0.878"
"Temperature change on land","Central America","Temperature change","February","2008","1.493"
"Temperature change on land","Central America","Temperature change","February","2009","1.325"
"Temperature change on land","Central America","Temperature change","February","2010","-0.142"
"Temperature change on land","Central America","Temperature change","February","2011","0.412"
"Temperature change on land","Central America","Temperature change","February","2012","0.953"
"Temperature change on land","Central America","Temperature change","February","2013","1.297"
"Temperature change on land","Central America","Temperature change","February","2014","1.947"
"Temperature change on land","Central America","Temperature change","February","2015","1.014"
"Temperature change on land","Central America","Temperature change","February","2016","1.551"
"Temperature change on land","Central America","Temperature change","February","2017","2.365"
"Temperature change on land","Central America","Temperature change","February","2018","2.154"
"Temperature change on land","Central America","Temperature change","February","2019","1.884"
"Temperature change on land","Central America","Temperature change","February","2020","1.376"
"Temperature change on land","Central America","Temperature change","February","2021","1.369"
"Temperature change on land","Central America","Temperature change","February","2022","0.563"
"Temperature change on land","Central America","Temperature change","February","2023","1.376"
"Temperature change on land","Central America","Temperature change","March","1961","0.155"
"Temperature change on land","Central America","Temperature change","March","1962","-0.737"
"Temperature change on land","Central America","Temperature change","March","1963","0.473"
"Temperature change on land","Central America","Temperature change","March","1964","-0.197"
"Temperature change on land","Central America","Temperature change","March","1965","-0.732"
"Temperature change on land","Central America","Temperature change","March","1966","-0.462"
"Temperature change on land","Central America","Temperature change","March","1967","0.46"
"Temperature change on land","Central America","Temperature change","March","1968","-1.534"
"Temperature change on land","Central America","Temperature change","March","1969","-0.979"
"Temperature change on land","Central America","Temperature change","March","1970","-0.561"
"Temperature change on land","Central America","Temperature change","March","1971","0.356"
"Temperature change on land","Central America","Temperature change","March","1972","0.977"
"Temperature change on land","Central America","Temperature change","March","1973","0.399"
"Temperature change on land","Central America","Temperature change","March","1974","0.64"
"Temperature change on land","Central America","Temperature change","March","1975","0.406"
"Temperature change on land","Central America","Temperature change","March","1976","0.318"
"Temperature change on land","Central America","Temperature change","March","1977","-0.129"
"Temperature change on land","Central America","Temperature change","March","1978","0.127"
"Temperature change on land","Central America","Temperature change","March","1979","0.104"
"Temperature change on land","Central America","Temperature change","March","1980","0.682"
"Temperature change on land","Central America","Temperature change","March","1981","-0.121"
"Temperature change on land","Central America","Temperature change","March","1982","0.964"
"Temperature change on land","Central America","Temperature change","March","1983","-0.434"
"Temperature change on land","Central America","Temperature change","March","1984","0.395"
"Temperature change on land","Central America","Temperature change","March","1985","0.579"
"Temperature change on land","Central America","Temperature change","March","1986","-0.08"
"Temperature change on land","Central America","Temperature change","March","1987","-0.539"
"Temperature change on land","Central America","Temperature change","March","1988","0.086"
"Temperature change on land","Central America","Temperature change","March","1989","0.07"
"Temperature change on land","Central America","Temperature change","March","1990","0.31"
"Temperature change on land","Central America","Temperature change","March","1991","0.809"
"Temperature change on land","Central America","Temperature change","March","1992","0.386"
"Temperature change on land","Central America","Temperature change","March","1993","0.173"
"Temperature change on land","Central America","Temperature change","March","1994","0.666"
"Temperature change on land","Central America","Temperature change","March","1995","0.683"
"Temperature change on land","Central America","Temperature change","March","1996","-0.305"
"Temperature change on land","Central America","Temperature change","March","1997","1.062"
"Temperature change on land","Central America","Temperature change","March","1998","0.167"
"Temperature change on land","Central America","Temperature change","March","1999","0.732"
"Temperature change on land","Central America","Temperature change","March","2000","0.989"
"Temperature change on land","Central America","Temperature change","March","2001","-0.09"
"Temperature change on land","Central America","Temperature change","March","2002","0.61"
"Temperature change on land","Central America","Temperature change","March","2003","0.783"
"Temperature change on land","Central America","Temperature change","March","2004","1.492"
"Temperature change on land","Central America","Temperature change","March","2005","0.622"
"Temperature change on land","Central America","Temperature change","March","2006","0.953"
"Temperature change on land","Central America","Temperature change","March","2007","1.052"
"Temperature change on land","Central America","Temperature change","March","2008","0.355"
"Temperature change on land","Central America","Temperature change","March","2009","0.758"
"Temperature change on land","Central America","Temperature change","March","2010","-0.111"
"Temperature change on land","Central America","Temperature change","March","2011","1.442"
"Temperature change on land","Central America","Temperature change","March","2012","1.009"
"Temperature change on land","Central America","Temperature change","March","2013","0.717"
"Temperature change on land","Central America","Temperature change","March","2014","1.104"
"Temperature change on land","Central America","Temperature change","March","2015","0.552"
"Temperature change on land","Central America","Temperature change","March","2016","1.623"
"Temperature change on land","Central America","Temperature change","March","2017","1.965"
"Temperature change on land","Central America","Temperature change","March","2018","1.791"
"Temperature change on land","Central America","Temperature change","March","2019","1.101"
"Temperature change on land","Central America","Temperature change","March","2020","2.21"
"Temperature change on land","Central America","Temperature change","March","2021","1.318"
"Temperature change on land","Central America","Temperature change","March","2022","0.829"
"Temperature change on land","Central America","Temperature change","March","2023","1.545"
"Temperature change on land","Central America","Temperature change","April","1961","0.163"
"Temperature change on land","Central America","Temperature change","April","1962","-0.097"
"Temperature change on land","Central America","Temperature change","April","1963","0.596"
"Temperature change on land","Central America","Temperature change","April","1964","0.347"
"Temperature change on land","Central America","Temperature change","April","1965","0.215"
"Temperature change on land","Central America","Temperature change","April","1966","0.084"
"Temperature change on land","Central America","Temperature change","April","1967","0.121"
"Temperature change on land","Central America","Temperature change","April","1968","-0.582"
"Temperature change on land","Central America","Temperature change","April","1969","0.461"
"Temperature change on land","Central America","Temperature change","April","1970","0.22"
"Temperature change on land","Central America","Temperature change","April","1971","-0.853"
"Temperature change on land","Central America","Temperature change","April","1972","0.861"
"Temperature change on land","Central America","Temperature change","April","1973","-0.488"
"Temperature change on land","Central America","Temperature change","April","1974","0.083"
"Temperature change on land","Central America","Temperature change","April","1975","-0.144"
"Temperature change on land","Central America","Temperature change","April","1976","-0.496"
"Temperature change on land","Central America","Temperature change","April","1977","-0.691"
"Temperature change on land","Central America","Temperature change","April","1978","0.251"
"Temperature change on land","Central America","Temperature change","April","1979","0.303"
"Temperature change on land","Central America","Temperature change","April","1980","-0.302"
"Temperature change on land","Central America","Temperature change","April","1981","0.237"
"Temperature change on land","Central America","Temperature change","April","1982","1.061"
"Temperature change on land","Central America","Temperature change","April","1983","-0.679"
"Temperature change on land","Central America","Temperature change","April","1984","0.428"
"Temperature change on land","Central America","Temperature change","April","1985","-0.026"
"Temperature change on land","Central America","Temperature change","April","1986","1.01"
"Temperature change on land","Central America","Temperature change","April","1987","-0.691"
"Temperature change on land","Central America","Temperature change","April","1988","0.26"
"Temperature change on land","Central America","Temperature change","April","1989","0.721"
"Temperature change on land","Central America","Temperature change","April","1990","0.526"
"Temperature change on land","Central America","Temperature change","April","1991","0.901"
"Temperature change on land","Central America","Temperature change","April","1992","0.084"
"Temperature change on land","Central America","Temperature change","April","1993","0.29"
"Temperature change on land","Central America","Temperature change","April","1994","0.33"
"Temperature change on land","Central America","Temperature change","April","1995","0.249"
"Temperature change on land","Central America","Temperature change","April","1996","0.201"
"Temperature change on land","Central America","Temperature change","April","1997","-0.692"
"Temperature change on land","Central America","Temperature change","April","1998","0.259"
"Temperature change on land","Central America","Temperature change","April","1999","0.707"
"Temperature change on land","Central America","Temperature change","April","2000","0.83"
"Temperature change on land","Central America","Temperature change","April","2001","0.621"
"Temperature change on land","Central America","Temperature change","April","2002","1.352"
"Temperature change on land","Central America","Temperature change","April","2003","0.633"
"Temperature change on land","Central America","Temperature change","April","2004","0.138"
"Temperature change on land","Central America","Temperature change","April","2005","0.786"
"Temperature change on land","Central America","Temperature change","April","2006","1.334"
"Temperature change on land","Central America","Temperature change","April","2007","0.393"
"Temperature change on land","Central America","Temperature change","April","2008","0.759"
"Temperature change on land","Central America","Temperature change","April","2009","0.682"
"Temperature change on land","Central America","Temperature change","April","2010","0.43"
"Temperature change on land","Central America","Temperature change","April","2011","1.667"
"Temperature change on land","Central America","Temperature change","April","2012","0.826"
"Temperature change on land","Central America","Temperature change","April","2013","0.804"
"Temperature change on land","Central America","Temperature change","April","2014","0.987"
"Temperature change on land","Central America","Temperature change","April","2015","1.055"
"Temperature change on land","Central America","Temperature change","April","2016","1.236"
"Temperature change on land","Central America","Temperature change","April","2017","1.286"
"Temperature change on land","Central America","Temperature change","April","2018","1.058"
"Temperature change on land","Central America","Temperature change","April","2019","0.897"
"Temperature change on land","Central America","Temperature change","April","2020","2.124"
"Temperature change on land","Central America","Temperature change","April","2021","1.317"
"Temperature change on land","Central America","Temperature change","April","2022","1.666"
"Temperature change on land","Central America","Temperature change","April","2023","1.119"
"Temperature change on land","Central America","Temperature change","May","1961","0.555"
"Temperature change on land","Central America","Temperature change","May","1962","-0.261"
"Temperature change on land","Central America","Temperature change","May","1963","0.242"
"Temperature change on land","Central America","Temperature change","May","1964","0.157"
"Temperature change on land","Central America","Temperature change","May","1965","-0.131"
"Temperature change on land","Central America","Temperature change","May","1966","0.11"
"Temperature change on land","Central America","Temperature change","May","1967","0.127"
"Temperature change on land","Central America","Temperature change","May","1968","-0.185"
"Temperature change on land","Central America","Temperature change","May","1969","0.134"
"Temperature change on land","Central America","Temperature change","May","1970","-0.476"
"Temperature change on land","Central America","Temperature change","May","1971","-0.198"
"Temperature change on land","Central America","Temperature change","May","1972","0.066"
"Temperature change on land","Central America","Temperature change","May","1973","0.19"
"Temperature change on land","Central America","Temperature change","May","1974","0.257"
"Temperature change on land","Central America","Temperature change","May","1975","-0.145"
"Temperature change on land","Central America","Temperature change","May","1976","-0.489"
"Temperature change on land","Central America","Temperature change","May","1977","-0.303"
"Temperature change on land","Central America","Temperature change","May","1978","0.563"
"Temperature change on land","Central America","Temperature change","May","1979","-0.274"
"Temperature change on land","Central America","Temperature change","May","1980","0.604"
"Temperature change on land","Central America","Temperature change","May","1981","0.093"
"Temperature change on land","Central America","Temperature change","May","1982","-0.155"
"Temperature change on land","Central America","Temperature change","May","1983","0.714"
"Temperature change on land","Central America","Temperature change","May","1984","0.396"
"Temperature change on land","Central America","Temperature change","May","1985","0.361"
"Temperature change on land","Central America","Temperature change","May","1986","0.229"
"Temperature change on land","Central America","Temperature change","May","1987","-0.233"
